date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
1998-09-10,1480.2333048669,,,,1272.9054238041626,,,1745.875869590734,,1249.5300745212376,,,,,,,1521.3587812584672,,,
1998-09-17,,,,,,,,,,1247.0255219715816,,1455.366354961864,1595.542390467563,1313.190545202133,,1291.3862474745185,,,1041.1058895137398,
1998-09-24,1474.890613276397,1160.9801530288944,,,1293.9010675960965,,,1752.78726742148,1452.6201327868494,,,,,,,,1524.376271902518,,,
1998-10-01,1478.739681734676,1159.4705179540852,,,,,,,,1228.4302566850404,,1438.7851576606085,,,,1305.1476429730565,,1496.7659943454528,,
1998-10-08,1480.6363916788473,,,,1280.777109991046,1512.8304003787896,,,1448.4539359681164,,,,1593.3965501291416,,,,,,1033.4547251536023,
1998-10-15,1488.136641262087,1177.5607302433411,,,,,,,,1221.381151253535,,1453.4702504020395,,1331.7686735665266,,,1547.3571646451812,,,
1998-10-22,,,,,1295.333917429066,1504.8750001359035,,1739.0356710605054,1459.491786098373,,,,1599.2334277969683,,,,,1475.6368869851729,1027.0715315260013,
1998-10-29,1494.897898441003,1166.9155740761805,,,1298.3551923948264,1507.3460684602258,,1721.958097858581,1447.8804365540989,,,,,,,1283.471179343683,1520.9721037470426,,,
1998-11-05,,,,,,,,,,1233.0122863590645,,1457.3958346675283,1612.8110354789978,1369.3562992019831,,,,1478.992894286839,1024.264556908988,
1998-11-12,,,,,1301.2257854425218,1529.9566194843685,,1725.5880858394178,1427.0506771413363,,,,1617.6295016766298,,,,1514.5872845738065,,,
1998-11-19,,1153.558652361586,,,,,,,,1223.307861045261,,1465.2257971077813,,,,1306.6333950142005,,1491.3447452168575,,
