,Data,Time,Home,Score,Away,Venue,Season
0,Sat 5 Sep,14:15,Richmond,41-29,Newcastle Falcons,Madejski Stadium,1998-1999
1,Sat 5 Sep,15:00,Bath Rugby,36-27,London Wasps,Recreation Ground,1998-1999
2,Sat 5 Sep,15:00,Gloucester,29-22,London Irish,Kingsholm,1998-1999
3,Sat 5 Sep,15:00,Leicester Tigers,49-15,NEC Harlequins,Welford Road,1998-1999
4,Sat 5 Sep,15:00,London Scottish,25-20,Sale Sharks,Twickenham Stoop,1998-1999
5,Sun 6 Sep,15:00,Saracens,34-7,Northampton Saints,Vicarage Road,1998-1999
6,Sat 12 Sep,14:15,Newcastle Falcons,19-17,Bath Rugby,International Stad.,1998-1999
7,Sat 12 Sep,15:00,London Scottish,3-38,Leicester Tigers,Twickenham Stoop,1998-1999
8,Sat 12 Sep,15:00,Northampton Saints,25-6,NEC Harlequins,Franklin's Gardens,1998-1999
9,Sat 12 Sep,15:00,Richmond,22-25,Gloucester,Madejski Stadium,1998-1999
10,Sat 12 Sep,15:00,Sale Sharks,39-21,Bedford Blues,Heywood Road,1998-1999
11,Sun 13 Sep,15:00,West Hartlepool,20-44,London Irish,Victoria Park,1998-1999
12,Sat 19 Sep,14:15,Leicester Tigers,35-25,Northampton Saints,Welford Road,1998-1999
13,Sat 19 Sep,15:00,Bath Rugby,36-14,Richmond,Recreation Ground,1998-1999
14,Sat 19 Sep,15:00,Bedford Blues,24-16,London Scottish,Goldington Road,1998-1999
15,Sat 19 Sep,15:00,London Irish,24-36,London Wasps,The Avenue,1998-1999
16,Sun 20 Sep,15:00,Gloucester,36-3,West Hartlepool,Kingsholm,1998-1999
17,Sun 20 Sep,15:00,Saracens,43-26,Sale Sharks,Vicarage Road,1998-1999
18,Sat 26 Sep,14:15,Bedford Blues,23-32,Leicester Tigers,Goldington Road,1998-1999
19,Sat 26 Sep,15:00,Bath Rugby,21-16,Gloucester,Recreation Ground,1998-1999
20,Sat 26 Sep,15:00,London Scottish,20-58,Saracens,Twickenham Stoop,1998-1999
21,Sat 26 Sep,15:00,Sale Sharks,44-34,NEC Harlequins,Heywood Road,1998-1999
22,Sun 27 Sep,15:00,London Wasps,71-14,West Hartlepool,Loftus Road,1998-1999
23,Sun 27 Sep,15:00,Newcastle Falcons,21-23,London Irish,International Stad.,1998-1999
24,Sat 3 Oct,14:15,Gloucester,12-13,London Wasps,Kingsholm,1998-1999
25,Sat 3 Oct,15:00,Bath Rugby,57-19,Bedford Blues,Recreation Ground,1998-1999
26,Sat 3 Oct,15:00,London Irish,29-33,Richmond,The Avenue,1998-1999
27,Sat 3 Oct,15:00,NEC Harlequins,22-20,London Scottish,Twickenham Stoop,1998-1999
28,Sat 3 Oct,15:00,Northampton Saints,37-17,Sale Sharks,Franklin's Gardens,1998-1999
29,Sun 4 Oct,15:00,West Hartlepool,19-24,Newcastle Falcons,Victoria Park,1998-1999
30,Sat 10 Oct,15:00,Bath Rugby,23-20,London Irish,Recreation Ground,1998-1999
31,Sat 10 Oct,15:00,Bedford Blues,35-33,NEC Harlequins,Goldington Road,1998-1999
32,Sat 10 Oct,15:00,Richmond,41-23,West Hartlepool,Madejski Stadium,1998-1999
33,Sat 10 Oct,18:00,London Scottish,22-33,Northampton Saints,Twickenham Stoop,1998-1999
34,Sun 11 Oct,15:00,Newcastle Falcons,27-19,London Wasps,International Stad.,1998-1999
35,Sun 11 Oct,15:00,Saracens,22-10,Leicester Tigers,Vicarage Road,1998-1999
36,Sat 17 Oct,14:15,NEC Harlequins,41-28,Saracens,Twickenham Stoop,1998-1999
37,Sat 17 Oct,15:00,Gloucester,41-32,Newcastle Falcons,Kingsholm,1998-1999
38,Sat 17 Oct,15:00,Leicester Tigers,31-15,Sale Sharks,Welford Road,1998-1999
39,Sat 17 Oct,15:00,Northampton Saints,34-29,Bedford Blues,Franklin's Gardens,1998-1999
40,Sat 17 Oct,15:00,West Hartlepool,20-50,Bath Rugby,Victoria Park,1998-1999
41,Sun 18 Oct,15:00,London Wasps,22-27,Richmond,Loftus Road,1998-1999
