Date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
1998-09-10,1479.992480944305,,,,1273.1940885198806,,,1745.565175798075,,1249.7108167546835,,,,1354.238746139821,,,1521.1761935156414,,,
1998-09-17,,,,,,,,,,1247.1998815898019,,1433.7456234911178,1595.2047586632593,1335.3495870807233,,1291.5084032627813,,,1041.5231540802374,
1998-09-24,1474.3810834075346,1161.2152843609106,,,1294.8001571794434,,,1752.4822600143075,1452.4134764427108,,,,,,,,1524.1983417613337,,,
1998-10-01,1478.2566315266833,1159.7012328043095,,,,,,,,1228.5968558278364,,1417.8659608638989,,,,1305.2576801824318,,1496.5288125964669,,
1998-10-08,1480.1605559103916,,,,1281.612419282176,1512.723847950972,,,1448.0241119035613,,,,1593.0649115208073,,,,,,1033.4424258157346,
1998-10-15,1487.6621961331864,1177.7766116786015,,,,,,,,1221.5334587145458,,1433.7034147785166,,1352.7251805665985,,,1547.1849178476386,,,
1998-10-22,,,,,1295.4418285477084,1504.7752664438572,,1738.7416609016218,1459.0643551822434,,,,1598.9159844920114,,,,,1475.1789211122277,1027.2735714332143,
1998-10-29,1494.4444220254306,1166.5295900428926,,,1298.4608980750547,1507.2493980554339,,1721.833908305892,1447.4569426720327,,,,,,,1284.2751332642254,1520.798910319563,,,
1998-11-05,,,,,,,,,,1233.1457679611485,,1439.5995447153687,1612.4941136111984,1388.6356466392194,,,,1478.5583301517468,1024.4614776289875,
1998-11-12,,,,,1301.3236016602991,1529.3698331840699,,1725.460962962479,1426.6517918030459,,,,1617.3099461974728,,,,1514.2174764675274,,,
1998-11-19,,1153.5030983691527,,,,,,,,1223.4231409914137,,1448.5015071032624,,,,1307.4056596089347,,1490.9222470797185,,
1998-11-26,,,,,1317.421031648515,1536.178816330505,,,1438.672590767213,,,,1605.5596680889673,,,,,1494.7241825486713,1012.6782375705395,
1998-12-17,1455.202630916292,1130.918839363801,,,,,,1710.8722444529708,,1225.370498304286,,,,,,1312.5629249489145,1509.6852154284938,,,
1998-12-24,1440.5470973645986,,,,1304.4491785845155,,,,1444.2168544355093,1214.301478506553,,1450.7394881750229,,,,,,,1031.3917360103774,
