,order,Data,Time,Home,Score,Away,Venue,Season,Home Score,Away Score,Date
0,0,Sat 5 Sep,14:15,Richmond,41-29,Newcastle Falcons,Madejski Stadium,1998-1999,41,29,Sat 5 Sep 1998
1,1,Sat 5 Sep,15:00,Bath Rugby,36-27,London Wasps,Recreation Ground,1998-1999,36,27,Sat 5 Sep 1998
2,2,Sat 5 Sep,15:00,Gloucester,29-22,London Irish,Kingsholm,1998-1999,29,22,Sat 5 Sep 1998
3,3,Sat 5 Sep,15:00,Leicester Tigers,49-15,NEC Harlequins,Welford Road,1998-1999,49,15,Sat 5 Sep 1998
4,4,Sat 5 Sep,15:00,London Scottish,25-20,Sale Sharks,Twickenham Stoop,1998-1999,25,20,Sat 5 Sep 1998
5,5,Sun 6 Sep,15:00,Saracens,34-7,Northampton Saints,Vicarage Road,1998-1999,34,7,Sun 6 Sep 1998
6,6,Sat 12 Sep,14:15,Newcastle Falcons,19-17,Bath Rugby,International Stad.,1998-1999,19,17,Sat 12 Sep 1998
7,7,Sat 12 Sep,15:00,London Scottish,3-38,Leicester Tigers,Twickenham Stoop,1998-1999,3,38,Sat 12 Sep 1998
8,8,Sat 12 Sep,15:00,Northampton Saints,25-6,NEC Harlequins,Franklin's Gardens,1998-1999,25,6,Sat 12 Sep 1998
9,9,Sat 12 Sep,15:00,Richmond,22-25,Gloucester,Madejski Stadium,1998-1999,22,25,Sat 12 Sep 1998
10,10,Sat 12 Sep,15:00,Sale Sharks,39-21,Bedford Blues,Heywood Road,1998-1999,39,21,Sat 12 Sep 1998
11,11,Sun 13 Sep,15:00,West Hartlepool,20-44,London Irish,Victoria Park,1998-1999,20,44,Sun 13 Sep 1998
12,12,Sat 19 Sep,14:15,Leicester Tigers,35-25,Northampton Saints,Welford Road,1998-1999,35,25,Sat 19 Sep 1998
13,13,Sat 19 Sep,15:00,Bath Rugby,36-14,Richmond,Recreation Ground,1998-1999,36,14,Sat 19 Sep 1998
14,14,Sat 19 Sep,15:00,Bedford Blues,24-16,London Scottish,Goldington Road,1998-1999,24,16,Sat 19 Sep 1998
15,15,Sat 19 Sep,15:00,London Irish,24-36,London Wasps,The Avenue,1998-1999,24,36,Sat 19 Sep 1998
16,16,Sun 20 Sep,15:00,Gloucester,36-3,West Hartlepool,Kingsholm,1998-1999,36,3,Sun 20 Sep 1998
17,17,Sun 20 Sep,15:00,Saracens,43-26,Sale Sharks,Vicarage Road,1998-1999,43,26,Sun 20 Sep 1998
18,18,Sat 26 Sep,14:15,Bedford Blues,23-32,Leicester Tigers,Goldington Road,1998-1999,23,32,Sat 26 Sep 1998
19,19,Sat 26 Sep,15:00,Bath Rugby,21-16,Gloucester,Recreation Ground,1998-1999,21,16,Sat 26 Sep 1998
20,20,Sat 26 Sep,15:00,London Scottish,20-58,Saracens,Twickenham Stoop,1998-1999,20,58,Sat 26 Sep 1998
21,21,Sat 26 Sep,15:00,Sale Sharks,44-34,NEC Harlequins,Heywood Road,1998-1999,44,34,Sat 26 Sep 1998
22,22,Sun 27 Sep,15:00,London Wasps,71-14,West Hartlepool,Loftus Road,1998-1999,71,14,Sun 27 Sep 1998
23,23,Sun 27 Sep,15:00,Newcastle Falcons,21-23,London Irish,International Stad.,1998-1999,21,23,Sun 27 Sep 1998
24,24,Sat 3 Oct,14:15,Gloucester,12-13,London Wasps,Kingsholm,1998-1999,12,13,Sat 3 Oct 1998
25,25,Sat 3 Oct,15:00,Bath Rugby,57-19,Bedford Blues,Recreation Ground,1998-1999,57,19,Sat 3 Oct 1998
26,26,Sat 3 Oct,15:00,London Irish,29-33,Richmond,The Avenue,1998-1999,29,33,Sat 3 Oct 1998
27,27,Sat 3 Oct,15:00,NEC Harlequins,22-20,London Scottish,Twickenham Stoop,1998-1999,22,20,Sat 3 Oct 1998
28,28,Sat 3 Oct,15:00,Northampton Saints,37-17,Sale Sharks,Franklin's Gardens,1998-1999,37,17,Sat 3 Oct 1998
29,29,Sun 4 Oct,15:00,West Hartlepool,19-24,Newcastle Falcons,Victoria Park,1998-1999,19,24,Sun 4 Oct 1998
30,30,Sat 10 Oct,15:00,Bath Rugby,23-20,London Irish,Recreation Ground,1998-1999,23,20,Sat 10 Oct 1998
31,31,Sat 10 Oct,15:00,Bedford Blues,35-33,NEC Harlequins,Goldington Road,1998-1999,35,33,Sat 10 Oct 1998
32,32,Sat 10 Oct,15:00,Richmond,41-23,West Hartlepool,Madejski Stadium,1998-1999,41,23,Sat 10 Oct 1998
33,33,Sat 10 Oct,18:00,London Scottish,22-33,Northampton Saints,Twickenham Stoop,1998-1999,22,33,Sat 10 Oct 1998
34,34,Sun 11 Oct,15:00,Newcastle Falcons,27-19,London Wasps,International Stad.,1998-1999,27,19,Sun 11 Oct 1998
35,35,Sun 11 Oct,15:00,Saracens,22-10,Leicester Tigers,Vicarage Road,1998-1999,22,10,Sun 11 Oct 1998
36,36,Sat 17 Oct,14:15,NEC Harlequins,41-28,Saracens,Twickenham Stoop,1998-1999,41,28,Sat 17 Oct 1998
37,37,Sat 17 Oct,15:00,Gloucester,41-32,Newcastle Falcons,Kingsholm,1998-1999,41,32,Sat 17 Oct 1998
38,38,Sat 17 Oct,15:00,Leicester Tigers,31-15,Sale Sharks,Welford Road,1998-1999,31,15,Sat 17 Oct 1998
39,39,Sat 17 Oct,15:00,Northampton Saints,34-29,Bedford Blues,Franklin's Gardens,1998-1999,34,29,Sat 17 Oct 1998
40,40,Sat 17 Oct,15:00,West Hartlepool,20-50,Bath Rugby,Victoria Park,1998-1999,20,50,Sat 17 Oct 1998
41,41,Sun 18 Oct,15:00,London Wasps,22-27,Richmond,Loftus Road,1998-1999,22,27,Sun 18 Oct 1998
42,42,Tue 20 Oct,19:30,London Irish,24-23,Leicester Tigers,The Avenue,1998-1999,24,23,Tue 20 Oct 1998
43,43,Tue 20 Oct,19:30,NEC Harlequins,39-7,Gloucester,Twickenham Stoop,1998-1999,39,7,Tue 20 Oct 1998
44,44,Tue 20 Oct,19:30,West Hartlepool,3-52,Saracens,Victoria Park,1998-1999,3,52,Tue 20 Oct 1998
45,45,Wed 21 Oct,19:45,London Wasps,35-19,Bedford Blues,Loftus Road,1998-1999,35,19,Wed 21 Oct 1998
46,46,Sat 24 Oct,14:15,Leicester Tigers,27-0,Richmond,Welford Road,1998-1999,27,0,Sat 24 Oct 1998
47,47,Sat 24 Oct,15:00,Bath Rugby,27-3,Sale Sharks,Recreation Ground,1998-1999,27,3,Sat 24 Oct 1998
48,48,Sat 24 Oct,15:00,Bedford Blues,22-29,Newcastle Falcons,Goldington Road,1998-1999,22,29,Sat 24 Oct 1998
49,49,Sat 24 Oct,15:00,London Irish,10-26,Northampton Saints,The Avenue,1998-1999,10,26,Sat 24 Oct 1998
50,50,Sat 24 Oct,15:00,NEC Harlequins,25-10,West Hartlepool,Twickenham Stoop,1998-1999,25,10,Sat 24 Oct 1998
